NCIt Subset Code	NCPDP Subset Preferred Term	NCIt Code	NCPDP Preferred Term	NCPDP Synonym	NCIt Preferred Term	NCI Definition
C91101	NCPDP MeasurementUnitCode Terminology	C44277	Degree Fahrenheit		Degree Fahrenheit	A unit of temperature of the temperature scale designed so that the freezing point of water is 32 degrees and the boiling point is 212 degrees, placing the boiling and melting points of water 180 degrees apart. One degree Fahrenheit is 5/9ths of a kelvin (or of a degree Celsius), and minus 40 degrees Fahrenheit is equal to minus 40 degrees Celsius.
C91101	NCPDP MeasurementUnitCode Terminology	C25299	Diastolic Blood Pressure		Diastolic Blood Pressure	The minimum pressure exerted into the systemic arterial circulation during cardiac ventricular relaxation and filling.
C91101	NCPDP MeasurementUnitCode Terminology	C48155	Gram		Gram	The metric unit of mass equal to one thousandth of a kilogram. One gram equals approximately 15.432 grains or 0.035 273 966 ounce.
C91101	NCPDP MeasurementUnitCode Terminology	C49677	Heart Rate		Heart Rate	The number of heartbeats per unit of time, usually expressed as beats per minute.
C91101	NCPDP MeasurementUnitCode Terminology	C25347	Height		Height	The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension.
C91101	NCPDP MeasurementUnitCode Terminology	C48500	Inch		Inch	A traditional unit of length equal to 1/12 of a foot or 2.54 centimeters.
C91101	NCPDP MeasurementUnitCode Terminology	C28252	Kilogram		Kilogram	A basic SI unit of mass. It is defined as the mass of an international prototype in the form of a platinum-iridium cylinder kept at Sevres in France. A kilogram is equal to 1,000 grams and 2.204 622 6 pounds.
C91101	NCPDP MeasurementUnitCode Terminology	C49679	Mean Arterial Pressure		Mean Arterial Pressure	The mean pressure of the blood within the arterial circulation. The arterial pressure may be directly measured by insertion of an intra-arterial catheter connected to a transducer. The mean arterial pressure (MAP) can be calculated by subsequent analysis of the waveform. MAP can be approximated without an invasive procedure using the following formula: diastolic pressure plus 1/3 of the pulse pressure, where pulse pressure is systolic pressure - diastolic pressure.
C91101	NCPDP MeasurementUnitCode Terminology	C49670	Millimeter of Mercury		Millimeter of Mercury	A non-SI unit of pressure equal to 133,332 Pa or 1.316E10-3 standard atmosphere. Use of this unit is generally deprecated by ISO and IUPAC.
C91101	NCPDP MeasurementUnitCode Terminology	C29846	Month		Month	One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
C91101	NCPDP MeasurementUnitCode Terminology	C25613	Percentage		Percentage	A fraction or ratio with 100 understood as the denominator.
C91101	NCPDP MeasurementUnitCode Terminology	C48531	Pound		Pound	The traditional unit of mass. By international agreement, one avoirdupois pound is equal to exactly 0.453 592 37 kilogram, 16 ounces, or 1.215 28 troy pounds.
C91101	NCPDP MeasurementUnitCode Terminology	C49676	Pulse Rate		Pulse Rate	The rate of the pulse as observed in an artery, expressed as beats per minute. It can be measured at several anatomical sites, including the wrist, neck, temple, groin, behind the knees, or on top of the foot.
C91101	NCPDP MeasurementUnitCode Terminology	C49678	Respiratory Rate		Respiratory Rate	The rate of breathing (inhalation and exhalation) measured within in a unit time, usually expressed as breaths per minute.
C91101	NCPDP MeasurementUnitCode Terminology	C87054	Sagittal Abdominal Diameter		Sagittal Abdominal Diameter	A standard measure of visceral obesity, or abdominal fat, which is measured from the patient's back to upper abdomen between the bottom of the rib cage and the top of the pelvic area. This measurement may be taken with the patient standing or in the supine position.
C91101	NCPDP MeasurementUnitCode Terminology	C42569	Square Meter		Square Meter	A SI unit of area measurement equal to a square whose sides are one meter long. Square meter is equal to 10,000 square centimeters; 0.01 are; 1.196 square yards; 10.76 square feet; 1550 square inches.
C91101	NCPDP MeasurementUnitCode Terminology	C25298	Systolic Blood Pressure		Systolic Blood Pressure	The maximum pressure exerted into the systemic arterial circulation during the contraction of the left ventricle of the heart.
C91101	NCPDP MeasurementUnitCode Terminology	C25206	Temperature		Temperature	A measure of the average kinetic energy of a system of particles. Temperature may be quantified, in the context of thermodynamics, as the potential of one system to transfer thermal energy to another system until both systems reach a state of thermal equilibrium.
C91101	NCPDP MeasurementUnitCode Terminology	C38046	Unspecified		Unspecified	Not stated explicitly or in detail.
C91101	NCPDP MeasurementUnitCode Terminology	C29848	Year		Year	A period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C62412	Applicator		Applicator Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a single applicator.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C54564	Blister		Blister Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a blister.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C64696	Caplet		Caplet Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a caplet.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C48480	Capsule		Capsule Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a capsule.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C64933	Each		Each	Used to refer to every member of a group of people or things, considered individually.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C53499	Film		Film Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a film.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C48155	Gram		Gram	The metric unit of mass equal to one thousandth of a kilogram. One gram equals approximately 15.432 grains or 0.035 273 966 ounce.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C69124	Gum		Gum Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a gum.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C48499	Implant		Implant Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in an implant.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C62276	Insert		Insert Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in an insert.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C48504	Kit		Kit Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a kit.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C120263	Lancet		Lancet	A small, sharp, needle-like instrument that is used to puncture the skin.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C48506	Lozenge		Lozenge Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a lozenge.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C28254	Milliliter		Milliliter	A unit of volume equal to one millionth (10E-6) of a cubic meter, one thousandth of a liter, one cubic centimeter, or 0.061023 7 cubic inch. A cubic centimeter is the CGS unit of volume.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C48521	Packet		Packet Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a packet.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C65032	Pad		Pad Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a pad.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C48524	Patch		Patch Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a patch.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C120216	Pen Needle		Pen Needle	A single use, hollow needle embedded in a plastic hub, which is then attached to a preloaded syringe (pen) to facilitate the delivery of medication.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C62609	Ring		Ring Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a ring.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C53502	Sponge		Sponge Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a sponge.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C53503	Stick		Stick Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a stick.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C48538	Strip		Strip Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a strip.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C48539	Suppository		Suppository Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a suppository.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C53504	Swab		Swab Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a swab.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C48542	Tablet		Tablet Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a tablet.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C48548	Troche		Troche Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a troche.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C38046	Unspecified		Unspecified	Not stated explicitly or in detail.
C89510	NCPDP QuantityUnitOfMeasure Terminology	C48552	Wafer		Wafer Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a wafer.
C89508	NCPDP StrengthForm Terminology	C78746	21 Day Tablet		21 Day Tablet Dosage Form	A drug pack that contains a 21 day supply of tablets, composed of a mixture of active and/or inert ingredient(s) that are pressed or compacted into a solid round, square or oval shaped form.
C89508	NCPDP StrengthForm Terminology	C78747	28 Day Tablet		28 Day Tablet Dosage Form	A drug pack that contains a 28 day supply of tablets, composed of a mixture of active and/or inert ingredient(s) that are pressed or compacted into a solid round, square or oval shaped form.
C89508	NCPDP StrengthForm Terminology	C107670	Adjustable Dose Pre-filled Pen Syringe		Adjustable Dose Pre-filled Pen Syringe	A syringe with a measured dose of medication that has an apparatus that enables the user to specify the amount of the medication to deliver in an injection.
C89508	NCPDP StrengthForm Terminology	C64886	Adult Suppository		Adult Suppository Dosage Form	A suppository intended for administration to adults.
C89508	NCPDP StrengthForm Terminology	C42887	Aerosol		Aerosol Dosage Form	Contents packaged under pressure that are released upon activation of an appropriate valve system.
C89508	NCPDP StrengthForm Terminology	C42888	Aerosol Foam		Aerosol Foam Dosage Form	A foam that is packaged under pressure and released upon activation of an appropriate valve system.
C89508	NCPDP StrengthForm Terminology	C68935	Aerosol Mist		Aerosol Mist Dosage Form	A mist that is packaged under pressure and released upon activation of an appropriate valve system.
C89508	NCPDP StrengthForm Terminology	C69030	Aerosol Solution		Aerosol Solution Dosage Form	A homogenous solution comingled with a propellant and packaged under pressure. Upon activation of an appropriate valve system, the liquid is expelled into the air, the propellant is vaporized and the ingredients are dispersed.
C89508	NCPDP StrengthForm Terminology	C42889	Aerosol Spray		Aerosol Spray Dosage Form	A spray that is packaged under pressure and released upon activation of an appropriate valve system.
C89508	NCPDP StrengthForm Terminology	C60897	Augmented Cream		Augmented Cream Dosage Form	A cream that is modified to enhance the release of active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C91136	Augmented Gel		Augmented Gel Dosage Form	A gel that is modified to enhance the release of active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C60957	Augmented Lotion		Augmented Lotion Dosage Form	A lotion that is modified to enhance the release of active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C60984	Augmented Ointment		Augmented Ointment Dosage Form	An ointment that is modified to enhance the release of active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C91227	Auto-Injector		Auto-Injector Dosage Form	Active and/or inert ingredient(s) in a device that is automated to deliver a designated dose.
C89508	NCPDP StrengthForm Terminology	C69012	Bandage		Bandage Dosage Form	A solid composed of single or multilayered strips of permeable material.
C89508	NCPDP StrengthForm Terminology	C68950	Bar		Bar Dosage Form	A solid or semi-solid in a singular unit that is rectangular or oval in shape.
C89508	NCPDP StrengthForm Terminology	C91137	Bar Soap		Bar Soap Dosage Form	A solid in the shape of a bar composed of active and/or inert ingredient(s) in an anionic surfactant, for cleansing.
C89508	NCPDP StrengthForm Terminology	C42890	Bead		Bead Dosage Form	A solid in the shape of a small sphere.
C89508	NCPDP StrengthForm Terminology	C64875	Biting Capsule		Biting Capsule Dosage Form	A capsule designed to be bitten to release the active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C42891	Block		Block Dosage Form	A solid or semi-solid in the shape of a square or rectangle.
C89508	NCPDP StrengthForm Terminology	C64874	Buccal Capsule		Buccal Capsule Dosage Form	A capsule intended for administration between the cheek and gum of the oral cavity. The active and/or inert ingredient(s) are usually absorbed through the oral mucosa.
C89508	NCPDP StrengthForm Terminology	C91138	Buccal Film		Buccal Film Dosage Form	A thin layer of water soluble or insoluble polymer intended to coat the inner surface of the cheek.
C89508	NCPDP StrengthForm Terminology	C42755	Buccal Tablet		Buccal Tablet Dosage Form	A tablet intended for administration between the cheek and gum of the oral cavity. The active and/or inert ingredient(s) are usually absorbed through the oral mucosa.
C89508	NCPDP StrengthForm Terminology	C64878	Cachet		Cachet Dosage Form	A solid composed of dry powdered active and/or inert ingredient(s) covered by an edible shell. The shell consists of two concave pieces of wafer made of flour and water.
C89508	NCPDP StrengthForm Terminology	C68951	Cake		Cake Dosage Form	A solid composed of active ingredient(s), excipients (usually electrolytes and bulking agents), and a solvent system which are lyophilized to yield a compressed solid with uniform ingredient distribution. The resulting lyophilized cake maintains its structure and stability over an extended period of time, and is intended for reconstitution prior to administration.
C89508	NCPDP StrengthForm Terminology	C64880	Candy		Candy Dosage Form	A solid or semi-solid with a sweet taste and intended for oral administration.
C89508	NCPDP StrengthForm Terminology	C25158	Capsule		Capsule Dosage Form	A solid contained within either a hard or soft soluble shell, usually prepared from gelatin.
C89508	NCPDP StrengthForm Terminology	C68943	Capsule 12 Hour Sustained Release		Capsule 12 Hour Sustained Release Dosage Form	A capsule designed to release active and/or inert ingredient(s) slowly so as to achieve a constant circulating concentration of the ingredient over a 12 hour time interval.
C89508	NCPDP StrengthForm Terminology	C68944	Capsule 24 Hour Sustained Release		Capsule 24 Hour Sustained Release Dosage Form	A capsule designed to release active and/or inert ingredient(s) slowly so as to achieve a constant circulating concentration of the ingredient over a 24 hour time interval.
C89508	NCPDP StrengthForm Terminology	C45414	Cement		Cement Dosage Form	A base composed of bonding agents intermingled with active and/or inert ingredient(s), which rapidly hardens into a firm mass upon application.
C89508	NCPDP StrengthForm Terminology	C42892	Chewable Bar		Chewable Bar Dosage Form	A bar designed to be chewed to release active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C64876	Chewable Capsule		Chewable Capsule Dosage Form	A capsule designed to be chewed to release the active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C42893	Chewable Tablet		Chewable Tablet Dosage Form	A tablet that must be chewed to release the active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C42894	Chewing Gum		Chewing Gum Dosage Form	A semi-solid composed of synthetic, polymerized polysaccharide and flavorings, intended to be chewed to release active and/or inert ingredient(s).
C89508	NCPDP StrengthForm Terminology	C42678	Cigarette		Cigarette Dosage Form	A solid composed of active and/or inert ingredient(s) wrapped in a paper cylinder whereby one end is burned. The ingredient is released in a smoke form, which is inhaled.
C89508	NCPDP StrengthForm Terminology	C60884	Cloth		Cloth Dosage Form	A solid composed active and/or inert ingredient(s) in a woven absorbent material.
C89508	NCPDP StrengthForm Terminology	C42895	Coated Capsule		Coated Capsule Dosage Form	A capsule that contains an additional outer layer over the capsule shell.
C89508	NCPDP StrengthForm Terminology	C42896	Coated Pellet in Capsule		Coated Pellet in Capsule Dosage Form	A capsule composed of small globular masses covered with an outer shell.
C89508	NCPDP StrengthForm Terminology	C42897	Coated Tablet		Coated Tablet Dosage Form	A tablet whose outer shell is covered with a substance.
